date,description,amount,type,category
2026-08-02,Campus cafe burger,7.50,expense,Food
2026-08-03,Metro card top-up,10.00,expense,Transport
2026-08-05,Netflix monthly payment,12.99,expense,Subscriptions
2026-08-07,Photocopy of past papers,4.20,expense,Academics
2026-08-09,Monthly allowance from home,350.00,income,Allowance
2026-08-11,Cinema ticket with friends,11.00,expense,Entertainment
2026-08-14,Hostel electricity share,18.40,expense,Hostel/Rent
2026-08-16,Weekend tutoring session,40.00,income,Part-time Job
,Missing date row (should be skipped),5.00,expense,Food
2026-08-19,Pharmacy medicine,6.75,expense,Miscellaneous
